"from","to","combined_score","target"
"9606.ENSP00000311905","9606.ENSP00000361359",208,"9606.ENSP00000361359"
"9606.ENSP00000311905","9606.ENSP00000369154",208,"9606.ENSP00000369154"
"9606.ENSP00000006724","9606.ENSP00000311905",207,"9606.ENSP00000006724"
"9606.ENSP00000257868","9606.ENSP00000311905",207,"9606.ENSP00000257868"
"9606.ENSP00000311905","9606.ENSP00000358866",207,"9606.ENSP00000358866"
"9606.ENSP00000251241","9606.ENSP00000311905",206,"9606.ENSP00000251241"
"9606.ENSP00000257359","9606.ENSP00000311905",206,"9606.ENSP00000257359"
"9606.ENSP00000266070","9606.ENSP00000311905",206,"9606.ENSP00000266070"
"9606.ENSP00000311905","9606.ENSP00000424571",206,"9606.ENSP00000424571"
"9606.ENSP00000266085","9606.ENSP00000311905",205,"9606.ENSP00000266085"
"9606.ENSP00000271064","9606.ENSP00000311905",205,"9606.ENSP00000271064"
"9606.ENSP00000311905","9606.ENSP00000324532",205,"9606.ENSP00000324532"
"9606.ENSP00000311905","9606.ENSP00000326570",205,"9606.ENSP00000326570"
"9606.ENSP00000311905","9606.ENSP00000463159",205,"9606.ENSP00000463159"
"9606.ENSP00000311905","9606.ENSP00000478298",205,"9606.ENSP00000478298"
"9606.ENSP00000311905","9606.ENSP00000365433",204,"9606.ENSP00000365433"
"9606.ENSP00000311905","9606.ENSP00000348461",203,"9606.ENSP00000348461"
"9606.ENSP00000311905","9606.ENSP00000359225",203,"9606.ENSP00000359225"
"9606.ENSP00000311905","9606.ENSP00000368496",203,"9606.ENSP00000368496"
"9606.ENSP00000311905","9606.ENSP00000388293",203,"9606.ENSP00000388293"
"9606.ENSP00000311905","9606.ENSP00000408005",203,"9606.ENSP00000408005"
"9606.ENSP00000311905","9606.ENSP00000501053",203,"9606.ENSP00000501053"
"9606.ENSP00000280481","9606.ENSP00000311905",202,"9606.ENSP00000280481"
"9606.ENSP00000250003","9606.ENSP00000311905",201,"9606.ENSP00000250003"
"9606.ENSP00000256759","9606.ENSP00000311905",201,"9606.ENSP00000256759"
"9606.ENSP00000283147","9606.ENSP00000311905",201,"9606.ENSP00000283147"
"9606.ENSP00000304283","9606.ENSP00000311905",201,"9606.ENSP00000304283"
"9606.ENSP00000311905","9606.ENSP00000345728",201,"9606.ENSP00000345728"
"9606.ENSP00000311905","9606.ENSP00000354504",201,"9606.ENSP00000354504"
"9606.ENSP00000311905","9606.ENSP00000356530",201,"9606.ENSP00000356530"
"9606.ENSP00000311905","9606.ENSP00000380070",201,"9606.ENSP00000380070"
"9606.ENSP00000311905","9606.ENSP00000494750",201,"9606.ENSP00000494750"
"9606.ENSP00000311905","9606.ENSP00000495360",201,"9606.ENSP00000495360"
"9606.ENSP00000311905","9606.ENSP00000323856",200,"9606.ENSP00000323856"
"9606.ENSP00000311905","9606.ENSP00000326018",200,"9606.ENSP00000326018"
"9606.ENSP00000311905","9606.ENSP00000332454",200,"9606.ENSP00000332454"
"9606.ENSP00000311905","9606.ENSP00000339823",200,"9606.ENSP00000339823"
"9606.ENSP00000311905","9606.ENSP00000375892",200,"9606.ENSP00000375892"
"9606.ENSP00000251268","9606.ENSP00000311905",199,"9606.ENSP00000251268"
"9606.ENSP00000311905","9606.ENSP00000351015",199,"9606.ENSP00000351015"
"9606.ENSP00000311905","9606.ENSP00000356056",199,"9606.ENSP00000356056"
"9606.ENSP00000311905","9606.ENSP00000498702",199,"9606.ENSP00000498702"
"9606.ENSP00000244043","9606.ENSP00000311905",198,"9606.ENSP00000244043"
"9606.ENSP00000311905","9606.ENSP00000362441",198,"9606.ENSP00000362441"
"9606.ENSP00000311905","9606.ENSP00000367564",198,"9606.ENSP00000367564"
"9606.ENSP00000311905","9606.ENSP00000379204",198,"9606.ENSP00000379204"
"9606.ENSP00000311905","9606.ENSP00000385035",198,"9606.ENSP00000385035"
"9606.ENSP00000254846","9606.ENSP00000311905",197,"9606.ENSP00000254846"
"9606.ENSP00000267622","9606.ENSP00000311905",197,"9606.ENSP00000267622"
"9606.ENSP00000270824","9606.ENSP00000311905",197,"9606.ENSP00000270824"
"9606.ENSP00000311760","9606.ENSP00000311905",197,"9606.ENSP00000311760"
"9606.ENSP00000311905","9606.ENSP00000341289",197,"9606.ENSP00000341289"
"9606.ENSP00000311905","9606.ENSP00000373783",197,"9606.ENSP00000373783"
"9606.ENSP00000311905","9606.ENSP00000350418",196,"9606.ENSP00000350418"
